BaitUnit,Protein,gamma1,gamma2,gamma3,lambda1,lambda2,lambda3,pi1,pi2,pi3,rep1,rep2,tau
Treat_TMEMmyc,SNIP1,0.996946971552935,1.1563039252444136e-11,0.0030530284345049357,6.3357556773155785,7.9196945967109125,9.503633516052968,0.5655549745098111,9.873477377208413e-11,0.4344450253914541,2.0,0.0,0.03162277660168379
Treat_TMEMV5,SNRNP200,9.883677201226295e-69,9.987708496318896e-41,0.9999999999989999,5.789256068911337,7.2365700861392535,8.683884104764166,0.5534859635977887,1.3827067593233304e-10,0.4465140362639406,226.0,175.0,0.03162277660168379
Treat_TMEMmyc,SNRNP200,7.64698631752566e-88,1.8840259300585658e-49,0.9999999999989999,6.335755677368679,7.9196945967109125,9.503633517690217,0.5655549745098111,9.873477377208413e-11,0.4344450253914541,282.0,229.0,0.03162277660168379
Treat_TMEMV5,SNRNP35,0.9595254658927823,6.368815761536564e-11,0.040474534042569815,5.789256068887341,7.2365700861392535,8.68388410336562,0.5534859635977887,1.3827067593233304e-10,0.4465140362639406,4.0,3.0,0.03162277660168379
Treat_TMEMmyc,SNRNP35,0.9847333941340946,2.7884230201029288e-11,0.015266605837036375,6.335755677335889,7.9196945967109125,9.50363351605248,0.5655549745098111,9.873477377208413e-11,0.4344450253914541,4.0,2.0,0.03162277660168379
Treat_TMEMmyc,SNRNP40,0.0057146319255852686,2.7413125595805894e-11,0.9942853680460073,6.335755677369145,7.9196945967109125,9.5036335160862,0.5655549745098111,9.873477377208413e-11,0.4344450253914541,17.0,12.0,0.03162277660168379
Treat_TMEMV5,SNRNP40,0.3814448432043822,1.8863576833604455e-10,0.6185551566063634,5.78925606892055,7.2365700861392535,8.68388410336407,0.5534859635977887,1.3827067593233304e-10,0.4465140362639406,9.0,7.0,0.03162277660168379
Treat_TMEMV5,SNRNP48,0.997537276384094,1.3885490406123957e-11,0.0024627236010229137,5.789256068848247,7.2365700861392535,8.683884103366996,0.5534859635977887,1.3827067593233304e-10,0.4465140362639406,0.0,0.0,0.03162277660168379
Treat_TMEMmyc,SNRNP48,0.9986407930777661,7.412918371640255e-12,0.001359206913822401,6.33575567730552,7.9196945967109125,9.503633516053053,0.5655549745098111,9.873477377208413e-11,0.4344450253914541,0.0,0.0,0.03162277660168379
Treat_TMEMmyc,SNRNP70,0.00854752490902592,3.2802024965459133e-11,0.9914524750571806,6.335755677369333,7.9196945967109125,9.503633516082807,0.5655549745098111,9.873477377208413e-11,0.4344450253914541,20.0,8.0,0.03162277660168379
Treat_TMEMV5,SNRNP70,0.10858463939095751,1.3109941168321e-10,0.8914153604770515,5.789256068916333,7.2365700861392535,8.683884103375695,0.5534859635977887,1.3827067593233304e-10,0.4465140362639406,10.0,10.0,0.03162277660168379
